ID Variant;category;name;Brand Name;Basic - Price;In Stock;Track Stock;Track Alert;Track Cost;Cost Amount
116357699;rokok mix ;Tepat kopi filter;Unbranded;16000;2;Yes;Yes;Yes;14077
116518387;tembakau original;Merapi;Unbranded;9000;0;No;No;Yes;4775
116518388;tembakau original;Merapi;Unbranded;16000;0;No;No;Yes;9550
116518389;tembakau original;Merapi;Unbranded;30000;0;No;No;Yes;19100
116582298;rokok mix ;wismilak slim 16;Unbranded;17500;5;Yes;Yes;Yes;16388
116582372;rokok mix ;marcopolo lights 20;Unbranded;27000;0;Yes;Yes;Yes;21595
116582441;rokok mix ;kerbau long size 12;Unbranded;8500;2;Yes;Yes;Yes;7032
116596653;kertas papir;papir njuling;Unbranded;1000;0;No;No;Yes;440
116596654;kertas papir;papir njuling;Unbranded;2000;0;No;No;Yes;1320
116601084;kertas papir;papir samkiu kretek;Unbranded;500;218;Yes;Yes;Yes;231
116601315;kertas papir;papir melawan;Unbranded;1000;0;No;No;Yes;440
116601316;kertas papir;papir melawan;Unbranded;2000;0;No;No;Yes;1320
116601337;kertas papir;papir payung;Unbranded;1000;0;No;No;Yes;809
116601338;kertas papir;papir payung;Unbranded;2000;0;No;No;Yes;2427
116914970;cerutu;crt adipati panatella;Unbranded;9000;5;Yes;Yes;Yes;5000
117287699;tembakau rasa;candy ice;Unbranded;7000;0;No;No;Yes;3750
117287700;tembakau rasa;candy ice;Unbranded;13000;0;No;No;Yes;7500
117287701;tembakau rasa;candy ice;Unbranded;25000;0;No;No;Yes;15000
117287736;tembakau rasa;bublegum;Unbranded;7000;0;No;No;Yes;3750
117287737;tembakau rasa;bublegum;Unbranded;13000;0;No;No;Yes;7500
117287738;tembakau rasa;bublegum;Unbranded;25000;0;No;No;Yes;15000
117409609;tembakau original;ploso habis;Unbranded;13500;0;No;No;Yes;7525
117409610;tembakau original;ploso habis;Unbranded;26000;0;No;No;Yes;15050
117409611;tembakau original;ploso habis;Unbranded;50000;0;No;No;Yes;30100
118618625;tembakau taru martani;roll now;Unbranded;12000;26;Yes;Yes;Yes;8590
118618773;kertas papir;papir rom mangga;Unbranded;1000;0;No;No;Yes;480
118618774;kertas papir;papir rom mangga;Unbranded;2000;0;No;No;Yes;1440
118622293;rokok sampoerna;cap nona hitam putih 120gr;Unbranded;20000;0;Yes;Yes;Yes;17500
119044080;accessories;pipa tanduk sedang;Unbranded;20000;7;Yes;Yes;Yes;12500
119240744;rokok mix ;lakon kretek 12;Unbranded;8000;3;Yes;Yes;Yes;6845
119243234;tembakau original;paiton;Unbranded;10000;0;No;No;Yes;4275
119243235;tembakau original;paiton;Unbranded;18000;0;No;No;Yes;8550
119243236;tembakau original;paiton;Unbranded;35000;0;No;No;Yes;17100
119243239;tembakau original;karpote madura;Unbranded;15000;0;No;No;Yes;7500
119243240;tembakau original;karpote madura;Unbranded;28000;0;No;No;Yes;15000
119243241;tembakau original;karpote madura;Unbranded;55000;0;No;No;Yes;30000
119343339;rokok mix ;kansas 12;Unbranded;10500;0;Yes;Yes;Yes;9697
119343354;rokok mix ;tepat hitam 12;Unbranded;8000;1;Yes;Yes;Yes;7000
119840445;rokok mix ;Saroja;Unbranded;10000;0;Yes;Yes;Yes;8547
119840471;rokok mix ;Juara jambu;Unbranded;15000;3;Yes;Yes;Yes;13071
120401832;rokok mix ;kansas 20;Unbranded;16500;2;Yes;Yes;Yes;14904
121142453;rokok djarum;76 mangga;Unbranded;15000;5;Yes;Yes;Yes;13273
121142457;rokok mix ;juara mangga;Unbranded;15500;0;Yes;Yes;Yes;13184
121190291;rokok mix ;bossini 20;Unbranded;23500;0;Yes;Yes;Yes;21946
121190292;rokok mix ;la bold;Unbranded;33500;2;Yes;Yes;Yes;32076
121190348;rokok mix ;hitz teh manis;Unbranded;10000;0;Yes;Yes;Yes;8505
121896634;tembakau original;ploso gading;Unbranded;12000;0;No;No;Yes;5000
121896635;tembakau original;ploso gading;Unbranded;23000;0;No;No;Yes;10000
121896636;tembakau original;ploso gading;Unbranded;45000;0;No;No;Yes;20000
121896646;tembakau original;lamsi medium;Unbranded;10000;0;No;No;Yes;4000
121896647;tembakau original;lamsi medium;Unbranded;18000;0;No;No;Yes;8000
121896648;tembakau original;lamsi medium;Unbranded;35000;0;No;No;Yes;16000
122085682;accessories;Cover korek kulit;Unbranded;35000;1;Yes;Yes;Yes;27000
122558844;accessories;pipa tulang sapi;Unbranded;30000;4;Yes;Yes;Yes;15349
122558895;accessories;kotak tembakau kayu;Unbranded;15000;4;Yes;Yes;Yes;5000
122559315;rokok mix ;esse double pop;Unbranded;32000;0;Yes;Yes;Yes;30099
122559726;rokok sampoerna;praja;Unbranded;7500;4;Yes;Yes;Yes;6500
122776396;cengkeh;Cengkeh gunung tidar;Unbranded;1000;163;Yes;Yes;Yes;750
122804659;rokok herbal;St matur suwun oxy;Unbranded;14000;0;Yes;Yes;Yes;12000
123425352;rokok mix ;yk mangga;Unbranded;9000;1;Yes;Yes;Yes;8060
123529947;alat linting;Rollbox mascotte;Unbranded;40000;2;Yes;Yes;Yes;23000
123529974;rokok lodjie;lodjie filter 12;Unbranded;15000;0;Yes;Yes;Yes;13500
123748628;kertas papir;papir mignot tm;Unbranded;4000;46;Yes;Yes;Yes;2200
123748639;rokok mix ;tolak miskin;Unbranded;8000;0;Yes;Yes;Yes;6536
125218263;rokok mix ;169 12;Unbranded;8500;2;Yes;Yes;Yes;7240
125218271;rokok mix ;tabaco bold 12;Unbranded;16000;5;Yes;Yes;Yes;14601
125218368;rokok gudang garam;gg sriwedari;Unbranded;14500;3;Yes;Yes;Yes;12770
125218980;tembakau rasa;mangga ice;Unbranded;7000;0;No;No;Yes;3750
125218981;tembakau rasa;mangga ice;Unbranded;13000;0;No;No;Yes;7500
125218982;tembakau rasa;mangga ice;Unbranded;25000;0;No;No;Yes;15000
125218983;tembakau rasa;melon ice;Unbranded;7000;0;No;No;Yes;3750
125218984;tembakau rasa;melon ice;Unbranded;13000;0;No;No;Yes;7500
125218985;tembakau rasa;melon ice;Unbranded;25000;0;No;No;Yes;15000
125218988;tembakau rasa;banana;Unbranded;7000;0;No;No;Yes;3875
125218989;tembakau rasa;banana;Unbranded;13000;0;No;No;Yes;7750
125218990;tembakau rasa;banana;Unbranded;25000;0;No;No;Yes;15500
125287856;tembakau original;temanggung;Unbranded;7000;0;No;No;Yes;2500
125287857;tembakau original;temanggung;Unbranded;13000;0;No;No;Yes;5000
125287858;tembakau original;temanggung;Unbranded;25000;0;No;No;Yes;10000
126392825;rokok mix ;363 kretek 12;Unbranded;8000;1;Yes;Yes;Yes;6930
126392826;rokok mix ;win filter 12;Unbranded;17000;0;Yes;Yes;Yes;15698
126528739;cerutu;crt adipati super corona;Unbranded;18000;9;Yes;Yes;Yes;11560
126528849;kertas papir;papir royo hijau;Unbranded;4000;10;Yes;Yes;Yes;2700
126528888;cengkeh;cengkeh gunung wayang;Unbranded;2000;59;Yes;Yes;Yes;1050
126937419;rokok mix ;tabaco bold 20;Unbranded;23500;4;Yes;Yes;Yes;13883
127178726;accessories;kotak rokok akrilik hitam;Unbranded;25000;1;Yes;Yes;Yes;13100
